city,ptime,time_stamp,o3,wd,pm25,weekday,ws,weather,temp,clock_num,pm10,sd,co,so2,month,no2
太原,2017092621.0,1506459600,0.12857142857142856,1.0,0.07,1,0.2,0,0.6333333333333333,75600,0.12,0.5818181818181818,0.10178571087973458,0.044000000000000004,9,0.28
太原,2017092622.0,1506463200,0.09714285714285714,5.0,0.07200000000000001,1,0.2,0,0.6333333333333333,79200,0.12,0.5727272727272728,0.09999999829701016,0.044000000000000004,9,0.315
太原,2017092623.0,1506466800,0.06857142857142857,5.0,0.07,1,0.1,0,0.6333333333333333,82800,0.12,0.5545454545454546,0.09999999829701016,0.044000000000000004,9,0.345
太原,2017092700.0,1506470400,0.06857142857142857,5.0,0.068,2,0.2,2,0.6166666666666667,0,0.11625,0.5909090909090909,0.09285713945116317,0.04,9,0.335
太原,2017092701.0,1506474000,0.06857142857142857,3.0,0.07400000000000001,2,0.1,2,0.6166666666666667,3600,0.12125,0.6090909090909091,0.09285713945116317,0.04,9,0.325
太原,2017092702.0,1506477600,0.06857142857142857,3.0,0.08,2,0.1,2,0.6166666666666667,7200,0.13,0.6727272727272727,0.09821427719933648,0.034,9,0.315
太原,2017092703.0,1506481200,0.06285714285714286,1.0,0.07200000000000001,2,0.1,2,0.6,10800,0.11875,0.7090909090909091,0.0999999897820609,0.03,9,0.3
太原,2017092704.0,1506484800,0.04857142857142857,5.0,0.07400000000000001,2,0.2,2,0.6,14400,0.1225,0.6818181818181818,0.10178571087973458,0.038,9,0.29
太原,2017092705.0,1506488400,0.04,3.0,0.08800000000000001,2,0.2,2,0.6,18000,0.14,0.6636363636363637,0.0999999897820609,0.036000000000000004,9,0.28
太原,2017092706.0,1506492000,0.03142857142857143,5.0,0.096,2,0.2,2,0.6,21600,0.155,0.6454545454545455,0.10357144049235753,0.036000000000000004,9,0.28
太原,2017092707.0,1506495600,0.03428571428571429,5.0,0.096,2,0.1,0,0.5833333333333334,25200,0.1625,0.6636363636363637,0.10892857824053084,0.036000000000000004,9,0.265
太原,2017092708.0,1506499200,0.04,15.0,0.098,2,0.1,0,0.5833333333333334,28800,0.15875,0.7454545454545455,0.11785714966910225,0.03,9,0.26
太原,2017092709.0,1506502800,0.042857142857142864,7.0,0.096,2,0.1,0,0.6166666666666667,32400,0.15625,0.5727272727272728,0.11428571598870416,0.044000000000000004,9,0.265
太原,2017092710.0,1506506400,0.07142857142857142,3.0,0.086,2,0.1,0,0.6333333333333333,36000,0.15125,0.4909090909090909,0.13392857994352067,0.06,9,0.245
太原,2017092711.0,1506510000,0.08857142857142856,9.0,0.086,2,0.2,0,0.65,39600,0.15,0.4818181818181818,0.1285714336803981,0.06,9,0.26
太原,2017092712.0,1506513600,0.11714285714285715,7.0,0.096,2,0.2,2,0.65,43200,0.1525,0.5,0.12142855780465266,0.054000000000000006,9,0.255
太原,2017092713.0,1506517200,0.16285714285714287,11.0,0.10400000000000001,2,0.2,2,0.6833333333333333,46800,0.165,0.4636363636363636,0.13061224562781198,0.054000000000000006,9,0.225
太原,2017092714.0,1506520800,0.20857142857142846,11.0,0.114,2,0.3,2,0.7,50400,0.19375,0.4818181818181818,0.16607143197740828,0.086,9,0.235
太原,2017092715.0,1506524400,0.2285714285714285,9.0,0.14400000000000002,2,0.3,2,0.6833333333333333,54000,0.225,0.509090909090909,0.20535714285714285,0.138,9,0.265
太原,2017092716.0,1506528000,0.23142857142857146,11.0,0.16399999999999998,2,0.4,2,0.6833333333333333,57600,0.24375,0.509090909090909,0.216071435383388,0.18600000000000005,9,0.28
太原,2017092717.0,1506531600,0.22,9.0,0.156,2,0.2,2,0.7,61200,0.2225,0.5272727272727272,0.1875,0.20199999999999999,9,0.295
太原,2017092718.0,1506535200,0.19428571428571428,13.0,0.134,2,0.1,2,0.7,64800,0.1975,0.4,0.1607142686843872,0.22,9,0.32
太原,2017092719.0,1506538800,0.14,15.0,0.084,2,0.1,2,0.6166666666666667,68400,0.1675,0.6090909090909091,0.11964285373687746,0.102,9,0.37
太原,2017092719.0,1506542400,0.14,15.0,0.084,2,0.1,2,0.6166666666666667,72000,0.1675,0.6090909090909091,0.11964285373687746,0.102,9,0.37
太原,2017092722.0,1506546000,0.13428571428571429,5.0,0.038,2,0.1,1,0.5,75600,0.11,0.6,0.0571428622518267,0.018000000000000002,9,0.25
太原,2017092722.0,1506549600,0.13428571428571429,5.0,0.038,2,0.1,1,0.5,79200,0.11,0.6,0.0571428622518267,0.018000000000000002,9,0.25
太原,2017092723.0,1506553200,0.12857142857142856,15.0,0.036000000000000004,2,0.2,1,0.6,82800,0.1,0.2363636363636364,0.051785715988704135,0.016,9,0.225
太原,2017092800.0,1506556800,0.12285714285714285,1.0,0.032,3,0.2,1,0.5833333333333334,0,0.095,0.2363636363636364,0.0500000034059797,0.016,9,0.21
太原,2017092801.0,1506560400,0.11142857142857143,1.0,0.032,3,0.2,1,0.5,3600,0.09625,0.44545454545454544,0.0535714328289032,0.016,9,0.215
太原,2017092802.0,1506564000,0.06857142857142857,1.0,0.036000000000000004,3,0.2,1,0.55,7200,0.1125,0.2909090909090909,0.05714285799435208,0.02,9,0.275
太原,2017092803.0,1506567600,0.057142857142857134,15.0,0.034,3,0.2,1,0.5333333333333333,10800,0.11375,0.3545454545454545,0.05535714541162763,0.022000000000000002,9,0.265
太原,2017092804.0,1506571200,0.042857142857142864,1.0,0.032,3,0.3,1,0.5166666666666667,14400,0.1125,0.3,0.0589285705770765,0.024,9,0.27
太原,2017092805.0,1506574800,0.051428571428571435,1.0,0.034,3,0.3,1,0.5333333333333333,18000,0.11,0.2818181818181818,0.06071428741727556,0.026000000000000002,9,0.235
太原,2017092806.0,1506578400,0.042857142857142864,15.0,0.03,3,0.2,1,0.5,21600,0.1,0.3181818181818182,0.06071428741727556,0.024,9,0.235
太原,2017092807.0,1506582000,0.042857142857142864,15.0,0.03,3,0.2,1,0.4833333333333333,25200,0.09875,0.3909090909090909,0.0678571377481733,0.027999999999999997,9,0.225
太原,2017092808.0,1506585600,0.06285714285714286,1.0,0.032,3,0.2,1,0.5166666666666667,28800,0.10375,0.3181818181818182,0.07857143027441843,0.034,9,0.205
太原,2017092809.0,1506589200,0.1,1.0,0.032,3,0.2,1,0.55,32400,0.10125,0.2727272727272727,0.08392857653754097,0.042,9,0.185
太原,2017092810.0,1506592800,0.11428571428571427,15.0,0.027999999999999997,3,0.1,1,0.5833333333333334,36000,0.09625,0.2363636363636364,0.10178571087973458,0.05,9,0.18
太原,2017092811.0,1506596400,0.12857142857142856,5.0,0.032,3,0.1,1,0.6166666666666667,39600,0.09375,0.18181818181818185,0.125,0.057999999999999996,9,0.18
太原,2017092812.0,1506600000,0.15142857142857144,5.0,0.04,3,0.1,1,0.6333333333333333,43200,0.09875,0.19090909090909086,0.11071429082325526,0.06,9,0.18
太原,2017092813.0,1506603600,0.18285714285714288,11.0,0.057999999999999996,3,0.2,1,0.65,46800,0.12875,0.20909090909090908,0.14285714285714285,0.094,9,0.225
太原,2017092814.0,1506607200,0.24,9.0,0.07200000000000001,3,0.2,1,0.6666666666666666,50400,0.1375,0.2181818181818181,0.13571427549634665,0.10400000000000001,9,0.21
太原,2017092815.0,1506610800,0.26857142857142857,11.0,0.08800000000000001,3,0.2,1,0.7,54000,0.1475,0.2,0.13571428401129584,0.114,9,0.21
太原,2017092816.0,1506614400,0.26285714285714284,11.0,0.09,3,0.2,1,0.7,57600,0.1425,0.2181818181818181,0.12321428741727558,0.106,9,0.205
太原,2017092817.0,1506618000,0.23142857142857146,11.0,0.11,3,0.2,1,0.6833333333333333,61200,0.165,0.2909090909090909,0.14107142175946916,0.132,9,0.26
太原,2017092818.0,1506621600,0.15428571428571428,11.0,0.132,3,0.2,1,0.6666666666666666,64800,0.19625,0.3363636363636364,0.18214285373687744,0.17,9,0.4
